Family,Unit #,Region,Route #,Route Name,Flyer Ct.,Route Description
,,WEIR,2-20,SILVERWOOD DR.,140,SILVERWOOD DR. – All // COREY CIR. – All // COPLEY DR. – All // MARYANN WAY – All // CHERYL CIR. – All // BETTY PHILLIPS CIR. – All 
,,WEIR,2-21,PLAIN ST.,140,PLAIN ST. (the BEGINNING to HART ST.) – All // AKRON AVE. – All // BEACON ST. – All // HART ST. (from PLAIN to LINDEN STS.) – All // ALEGI AVE. – All // HART AVE. – All // FAYAL AVE. – All 
,,WEIR,2-22,PLAIN ST.,110,PLAIN ST. (from HART ST. to BERKLEY LINE) – All // DEBRA DR. – All // TURTLE LANE – All // SYDNEY'S Way - All 
,,WEIR,2-23,LEISURE WOODS,220,ARCADIA DR. – All // LIMA DR. – All // HILLTOP TERR. – All // IVY TERR. – All // RED OAK TERR. – All // BUTTERNUT CIR. – All // WHITE OAK TERR. – All // COBB BROOK DR. – All // MAPLELEAF DR. – All 
,,OAKLAND,3-1,REDANTAYE ESTATES PARK,120,THAYER DR. - All // UPLAND RD. – All // EASTBRIDGE RD. – All // WESTBRIDGE RD. – All // NORTHWAY – All // SOUTHWAY – All // RIVERWAY – All 
,,OAKLAND,3-2,ROCKYKNOLL MOBILE PK.,175,IPSWICH DR. – All // NATICK DR. – All // AMHERST AVE. – All // NANTUCKET DR. – All // CHATHAM CT. – All // HARWICH DR. – All 
,,OAKLAND,3-3,TREMONT ST.  #1,45,TREMONT ST. (from RR TRACKS to WESTSIDE AVE.) – EVEN #s // WESTSIDE AVE. – All // LOCUST ST. – All 
,,OAKLAND,3-4,TREMONT ST. #2,50,TREMONT ST. (from TRUCCHI’S to DANFORTH ST.) – ODD #s // STANLEY AVE. – All // HORTON ST. – All 
,,OAKLAND,3-5,TREMONT ST. #3,130,TREMONT ST.  (from WESTSIDE AV. To MONADNOCK ST) - EVEN #s // CLIFFORD ST. (from TREMONT to SHORES STS) – All // SHORES ST.  (from CLIFFORD to ANAWAN STS.)  - All // ANAWAN ST. – All // CLEVELAND RD. – All // OAKLAND AVE. – All // MONADNOCK ST. - All 
,,OAKLAND,3-6,TREMONT ST. #4,50,TREMONT ST. (from CRAPO ST. to CAMERON AVE.) – ODD #s // WILDWOOD AVE. – All // ALTHEA ST. – All // ARNOLD ST. – All // CAMERON AVE. – All 
,,OAKLAND,3-7,TREMONT ST. #5,75,TREMONT ST. (from CAMERON AVE to MILL LN.) – ODD #s // KATHERINE WAY - All // CARMICLE DR. – All // MILL LANE – All 
,,OAKLAND,3-8,TREMONT ST. #6,100,TREMONT ST. (from MONADNOCK ST. to HEWITT AVE.) – EVEN #s // HEWITT AVE. – All // WALKER AVE. – All // MERRILL AVE. – All // NELTON AVE. – All // ROBERT AVE. – All // DOWNING DR. – All // BARNSTABLE LN.? – All // BARNSWALLOW CIR.? – All // TREMONT AVE. – All // WILDE AVE. – All 
,,OAKLAND,3-9,TREMONT ST. #7,135,TREMONT ST. (from WORCESTER to BURT STS.) – All // FRAZIER PASTURE RD. - All // SEGREGANSETT RD. – All // CARA CIR. – All // JOCELYN CIR. – All 
,,OAKLAND,3-10,TREMONT ST. #8,125,TREMONT ST. (from BURT to ROUND STS.) – All // BRADSHAW WAY - All // ROUND ST. - All // HODGES ST. (from SAO PAULO ST. to the NORTON LINE) – All // RAMA ST. – All // CONNIE ST. – All 
,,OAKLAND,3-11,ALFRED LORD BLVD.,100,TREMONT ST. (from HEWITT AVE. to WORCESTER ST.) – EVEN #s // CHAPEL ST. – All // TREMONT ST. (from ALFRED LORD BLVD. to WORCESTER ST.) - ODD #s // ALFRED LORD BLVD. – All // WAYLAND RD. – All // LILLIAN TERR. – All // WORCESTER ST. (from TREMONT ST. to ALFRED LORD BLVD.) – All 
,,OAKLAND,3-12,NORTON AVE. #4,75,NORTON AVE. (from CODDING DR. to the NORTON LINE) – All // COUNTRY WAY – All // JEFFREY LN. – All 
